Log Level : Warning | Event ID : 10102 | Event Name : Microsoft.EntityFrameworkCore.Query.RowLimitingOperationWithoutOrderByWarning | Formatter : The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. 
Log Level : Error | Event ID : 1 | Exception : Value cannot be null. (Parameter 'entity') | Formatter : İlgili kategori bulunamadı.(Silinmek istenen kategori Id: 13005) 
Log Level : Warning | Event ID : 10102 | Exception : Null | Formatter : The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. 
Log Level : Error | Event ID : 1 | Exception : Value cannot be null. (Parameter 'entity') | Formatter : İlgili kategori bulunamadı.(Silinmek istenen kategori Id: 10053) 
Log Level : Warning | Event ID : 10102 | Exception : Null | Formatter : The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. 
Log Level : Warning | Event ID : 10102 | Exception : Null | Formatter : The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. 
Log Level : Error | Event ID : 2 | Exception : Object reference not set to an instance of an object. | Formatter : Controller Name: Add, Action: Add, Eklenmek istenen Kategori Bilgisi:UlasBlog.Entity.Category 
Log Level : Error | Event ID : 2 | Exception : Object reference not set to an instance of an object. | Formatter : Controller Name: Add, Action: Add, Eklenmek istenen Kategori Bilgisi:UlasBlog.Entity.Category 
Log Level : Warning | Event ID : 10102 | Exception : Null | Formatter : The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. 
Log Level : Error | Event ID : 2 | Exception : Object reference not set to an instance of an object. | Formatter : Controller Name: Add, Action: Add, CategoryName:(null) 
Log Level : Warning | Event ID : 10102 | Exception : Null | Formatter : The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. 
Log Level : Error | Event ID : 2 | Exception : Database operation expected to affect 1 row(s) but actually affected 0 row(s). Data may have been modified or deleted since entities were loaded. See http://go.microsoft.com/fwlink/?LinkId=527962 for information on understanding and handling optimistic concurrency exceptions. | Formatter : Controller Name: Category, Action: Edit, CategoryName:test, CategoryId: 130 
Log Level : Warning | Event ID : 10102 | Exception : Null | Formatter : The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. 
Log Level : Error | Event ID : 2 | Exception : Database operation expected to affect 1 row(s) but actually affected 0 row(s). Data may have been modified or deleted since entities were loaded. See http://go.microsoft.com/fwlink/?LinkId=527962 for information on understanding and handling optimistic concurrency exceptions. | Formatter : Controller Name: Category, Action: Edit, CategoryName:test3, CategoryId: 130 
Log Level : Error | Event ID : 2 | Exception : Database operation expected to affect 1 row(s) but actually affected 0 row(s). Data may have been modified or deleted since entities were loaded. See http://go.microsoft.com/fwlink/?LinkId=527962 for information on understanding and handling optimistic concurrency exceptions. | Formatter : Controller Name: Category, Action: Edit, CategoryName:dfsdf, CategoryId: 130 
Log Level : Warning | Event ID : 10102 | Exception : Null | Formatter : The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. 
Log Level : Warning | Event ID : 10102 | Exception : Null | Formatter : The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. 
Log Level : Warning | Event ID : 10102 | Exception : Null | Formatter : The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. 
